Population Locus A B
Pop1 locus_90  21 119 
Pop1 locus_91 114  32 
Pop1 locus_92  10 130 
Pop1 locus_93  13 121 
Pop1 locus_94  10 130 
Pop1 locus_95  91  55 
Pop1 locus_96  33 115 
Pop1 locus_97   8 136 
Pop1 locus_98  53  83 
Pop1 locus_99 113  29 
Pop1 locus_100 117  33 
Pop1 locus_101  33 117 
Pop1 locus_102  93  61 
Pop1 locus_103  12 144 
Pop1 locus_104 128  14 
Pop1 locus_105  12 130 
Pop1 locus_106  19 139 
Pop1 locus_107  89  47 
Pop1 locus_108 136  28 
Pop1 locus_109 148  14 
Pop1 locus_110   9 151 
Pop1 locus_111  35 121 
Pop1 locus_112 144  14 
Pop1 locus_113  11 127 
Pop1 locus_114 147  11 
Pop1 locus_115 148  12 
Pop1 locus_116 147  11 
Pop1 locus_117  56 106 
Pop1 locus_118  17 147 
Pop1 locus_119 104  36 
Pop1 locus_120  35 103 
Pop1 locus_121 142   8 
Pop1 locus_122  10 136 
Pop1 locus_123  86  46 
Pop1 locus_124  25 133 
Pop1 locus_125  26 130 
Pop1 locus_126 145  13 
Pop1 locus_127 130  26 
Pop1 locus_128  18 136 
Pop1 locus_129 133  25 
Pop1 locus_130 130  24 
Pop1 locus_131 141  17 
Pop1 locus_132 145  15 
Pop1 locus_133 107  51 
Pop1 locus_134  87  63 
Pop1 locus_135  86  62 
Pop1 locus_136  37 117 
Pop1 locus_137  90  60 
Pop1 locus_138  19 145 
Pop1 locus_139  11 145 
Pop1 locus_140  31 115 
Pop1 locus_141  15 131 
Pop1 locus_142 130  20 
Pop1 locus_143  10 156 
Pop1 locus_144  33 129 
Pop1 locus_145  77  67 
Pop1 locus_146  12 148 
Pop1 locus_147 137  21 
Pop1 locus_148  17 143 
Pop1 locus_149  82  70 
Pop1 locus_150   9 127 
Pop1 locus_151 124  22 
Pop1 locus_152  16 132 
Pop1 locus_153 129  19 
Pop1 locus_154 113  31 
Pop1 locus_155 127  17 
Pop1 locus_156 123  17 
Pop1 locus_157 137  11 
Pop1 locus_158 112  38 
Pop1 locus_159  22 132 
Pop1 locus_160 132   8 
Pop1 locus_161  10 130 
Pop1 locus_162   8 126 
Pop1 locus_163  23 121 
Pop1 locus_164 121  23 
Pop1 locus_165 125  21 
Pop1 locus_166  16 132 
Pop1 locus_167  10 148 
Pop1 locus_168  10 148 
Pop1 locus_169 150  14 
Pop1 locus_170  30 116 
Pop1 locus_171   8 148 
Pop1 locus_172  13 137 
Pop1 locus_173   7 127 
Pop1 locus_174  22 106 
Pop1 locus_175 149  17 
Pop1 locus_176   9 157 
Pop1 locus_177 113  15 
Pop1 locus_178 107  19 
Pop1 locus_179   8 118 
Pop1 locus_180  12 152 
Pop1 locus_181  97  59 
Pop1 locus_182 147  13 
Pop1 locus_183  60  92 
Pop1 locus_184  62  94 
Pop1 locus_185   7 133 
Pop1 locus_186  51  89 
Pop1 locus_187 116  48 
Pop1 locus_188 140  26 
Pop1 locus_189 134  16 
Pop1 locus_190  83  57 
Pop1 locus_191 108  34 
Pop1 locus_192 125  17 
Pop1 locus_193 106  28 
Pop1 locus_194  96  40 
Pop1 locus_195  85  49 
Pop1 locus_196 106  28 
Pop1 locus_197   8 138 
Pop1 locus_198  13 143 
Pop1 locus_199 115  51 
Pop1 locus_200  48 112 
Pop1 locus_201  40  98 
Pop1 locus_202 118  18 
Pop1 locus_203  79  63 
Pop1 locus_204 111  37 
Pop1 locus_205   8 138 
Pop1 locus_206 141  17 
Pop1 locus_207  28 124 
Pop1 locus_208  66  90 
Pop1 locus_209  16 132 
Pop1 locus_210  89  53 
Pop1 locus_211  10 138 
Pop1 locus_212 124  22 
Pop1 locus_213 116  28 
Pop1 locus_214  92  44 
Pop1 locus_215  44  90 
Pop1 locus_216  96  54 
Pop1 locus_217  14 144 
Pop1 locus_218 137  17 
Pop1 locus_219 133   7 
Pop1 locus_220   8 146 
Pop1 locus_221   8 138 
Pop1 locus_222  25 119 
Pop1 locus_223   9 137 
Pop1 locus_224 122  22 
Pop1 locus_225 137   9 
Pop1 locus_226 121  21 
Pop1 locus_227 121  23 
Pop1 locus_228  10 142 
Pop1 locus_229  72  86 
Pop1 locus_230  47  81 
Pop1 locus_231 155   9 
Pop1 locus_232  11 153 
Pop1 locus_233  21 121 
Pop1 locus_234  90  68 
Pop1 locus_235  68  90 
Pop1 locus_236 143  11 
Pop1 locus_237 128  28 
Pop1 locus_238 124  34 
Pop1 locus_239  30 126 
Pop1 locus_240 156  10 
Pop1 locus_241  85  69 
Pop1 locus_242 137  21 
Pop1 locus_243  54  84 
Pop1 locus_244 128  18 
Pop1 locus_245  44 104 
Pop1 locus_246  41  97 
Pop1 locus_247  71  69 
Pop1 locus_248 143  19 
Pop1 locus_249 129  17 
Pop1 locus_250 109  37 
Pop1 locus_251 132   8 
Pop1 locus_252  14 122 
Pop1 locus_253  16 124 
Pop1 locus_254 125  13 
Pop1 locus_255 119  21 
Pop1 locus_256 122  40 
Pop1 locus_257 132  30 
Pop1 locus_258 131  11 
Pop1 locus_259  14 132 
Pop1 locus_260  11 127 
Pop1 locus_261 145   9 
Pop1 locus_262 113  33 
Pop1 locus_263 120  28 
Pop1 locus_264  41 111 
Pop1 locus_265 109  35 
Pop1 locus_266 136  14 
Pop1 locus_267 109  43 
Pop1 locus_268  59  89 
Pop1 locus_269  10 132 
Pop1 locus_270  12 142 
Pop1 locus_271  10 134 
Pop1 locus_272 131  13 
Pop1 locus_273 150  10 
Pop1 locus_274   9 151 
Pop1 locus_275  96  30 
Pop1 locus_276  36 106 
Pop1 locus_277   7 121 
Pop1 locus_278 128  30 
Pop1 locus_279  46  98 
Pop1 locus_280 140  10 
Pop1 locus_281  98  62 
Pop1 locus_282 126  32 
Pop1 locus_283  22 144 
Pop1 locus_284 147  19 
Pop1 locus_285 135  21 
Pop1 locus_286 145  11 
Pop1 locus_287  12 146 
Pop1 locus_288 114  36 
Pop1 locus_289  34 104 
Pop1 locus_290  17 127 
Pop1 locus_291  53  89 
Pop1 locus_292 104  46 
Pop1 locus_293  46 102 
Pop1 locus_294  13 137 
Pop1 locus_295 131  17 
Pop1 locus_296  72  72 
Pop1 locus_297 109  55 
Pop1 locus_298 129   9 
Pop1 locus_299  49  83 
Pop1 locus_300  76  72 
Pop1 locus_301 131  27 
Pop1 locus_302  15 129 
Pop1 locus_303  25 121 
Pop1 locus_304  11 119 
Pop1 locus_305  62  86 
Pop1 locus_306  28 112 
Pop1 locus_307 107  31 
Pop1 locus_308  23 119 
Pop1 locus_309 142  10 
Pop1 locus_310 100  42 
Pop1 locus_311  16 142 
Pop1 locus_312 118  48 
Pop1 locus_313  25 139 
Pop1 locus_314  25 141 
Pop1 locus_315  85  81 
Pop1 locus_316  81  83 
Pop1 locus_317  81  83 
Pop1 locus_318  23 137 
Pop1 locus_319  20 144 
Pop1 locus_320  82  50 
Pop1 locus_321  99  29 
Pop1 locus_322 129   7 
Pop1 locus_323  10 130 
Pop1 locus_324  65  73 
Pop1 locus_325 136  10 
Pop1 locus_326 141  15 
Pop1 locus_327 143   9 
Pop1 locus_328  16 128 
Pop1 locus_329  47  85 
Pop1 locus_330  16 136 
Pop1 locus_331  26 110 
Pop1 locus_332 126   8 
Pop1 locus_333  55  97 
Pop1 locus_334  10 152 
Pop1 locus_335  13 139 
Pop1 locus_336  45  93 
Pop1 locus_337 138   8 
Pop1 locus_338  16 132 
Pop1 locus_339  35 105 
Pop1 locus_340  86  76 
Pop1 locus_341 110  30 
Pop1 locus_342 108  48 
Pop1 locus_343 144  14 
Pop1 locus_344  15 143 
Pop1 locus_345  17 139 
Pop1 locus_346   8 152 
Pop1 locus_347  12 150 
Pop1 locus_348  97  53 
Pop1 locus_349  33 119 
Pop1 locus_350  95  45 
Pop1 locus_351  10 124 
Pop1 locus_352  14 122 
Pop1 locus_353 118  18 
Pop1 locus_354 129  11 
Pop1 locus_355 115  21 
Pop1 locus_356  16 138 
Pop1 locus_357  95  33 
Pop1 locus_358  90  66 
Pop1 locus_359  24 112 
Pop1 locus_360  23 113 
Pop1 locus_361 112  24 
Pop1 locus_362  16 150 
Pop1 locus_363  12 154 
Pop1 locus_364 124  10 
Pop1 locus_365  49  87 
Pop1 locus_366 130  26 
Pop1 locus_367 136  20 
Pop1 locus_368  11 115 
Pop1 locus_369 115  11 
Pop1 locus_370 119   7 
Pop1 locus_371 105  49 
Pop1 locus_372  48 104 
Pop1 locus_373  78  82 
Pop1 locus_374  78  82 
Pop1 locus_375 142  12 
Pop1 locus_376  20 138 
Pop1 locus_377 148  12 
Pop1 locus_378 144  14 
Pop1 locus_379  10 136 
Pop1 locus_380 135  21 
Pop1 locus_381  12 144 
Pop1 locus_382  10 142 
Pop1 locus_383  13 139 
Pop1 locus_384 141  11 
Pop1 locus_385  31 121 
Pop1 locus_386 148   8 
Pop1 locus_387  30 120 
Pop1 locus_388 135  21 
Pop1 locus_389  25 129 
Pop1 locus_390  21 135 
Pop1 locus_391  90  60 
Pop1 locus_392 130  20 
Pop1 locus_393  12 148 
Pop1 locus_394  89  63 
Pop1 locus_395  12 150 
Pop1 locus_396   8 152 
Pop1 locus_397 141  19 
Pop1 locus_398  82  72 
Pop1 locus_399  15 135 
Pop1 locus_400 132  20 
Pop1 locus_401 109  41 
Pop1 locus_402 100  38 
Pop1 locus_403 146   8 
Pop1 locus_404 141  23 
Pop1 locus_405   9 155 
Pop1 locus_406   8 144 
Pop1 locus_407  76  86 
Pop1 locus_408 144  12 
Pop1 locus_409 144  12 
Pop1 locus_410  12 144 
Pop1 locus_411  36 118 
Pop1 locus_412   9 149 
Pop1 locus_413 144  12 
Pop1 locus_414 150   8 
Pop1 locus_415 115  17 
Pop1 locus_416   9 125 
Pop1 locus_417  10 150 
Pop1 locus_418 141  17 
Pop1 locus_419 147  11 
Pop1 locus_420 111  45 
Pop1 locus_421 144  12 
Pop1 locus_422 141  17 
Pop1 locus_423 122  36 
Pop1 locus_424  46 108 
Pop1 locus_425  15 143 
Pop1 locus_426  10 156 
Pop1 locus_427 140  22 
Pop1 locus_428  33 119 
Pop1 locus_429 129  25 
Pop1 locus_430  13 151 
Pop1 locus_431 121  37 
Pop1 locus_432  37 121 
Pop1 locus_433  34 110 
Pop1 locus_434  18 126 
Pop1 locus_435 109  41 
Pop1 locus_436 140  16 
Pop1 locus_437 118  32 
Pop1 locus_438 119  25 
Pop1 locus_439   8 148 
Pop1 locus_440   9 135 
Pop1 locus_441 127  33 
Pop1 locus_442 140  24 
Pop1 locus_443  96  58 
Pop1 locus_444 151  13 
Pop1 locus_445 141  17 
Pop1 locus_446  40 114 
Pop1 locus_447 122  28 
Pop1 locus_448  40 114 
Pop1 locus_449 137  19 
Pop1 locus_450 143  17 
Pop1 locus_451  15 145 
Pop1 locus_452  89  67 
Pop1 locus_453 127  31 
Pop1 locus_454  47 113 
Pop1 locus_455  98  60 
Pop1 locus_456 139  19 
Pop1 locus_457 139  19 
Pop1 locus_458 135  19 
Pop1 locus_459 147  15 
Pop1 locus_460 152  12 
Pop1 locus_461 119  31 
Pop1 locus_462  13 143 
Pop1 locus_463  41 109 
Pop1 locus_464  40 108 
Pop1 locus_465 132  16 
Pop1 locus_466  10 138 
Pop1 locus_467 132  14 
Pop1 locus_468  12 132 
Pop1 locus_469  11 151 
Pop1 locus_470  87  75 
Pop1 locus_471 132  28 
Pop1 locus_472 151  11 
Pop1 locus_473  87  75 
Pop1 locus_474  37 113 
Pop1 locus_475 133  15 
Pop1 locus_476  34 110 
Pop1 locus_477 117  21 
Pop1 locus_478  16 116 
Pop1 locus_479  76  82 
Pop1 locus_480  84  74 
Pop1 locus_481  46 110 
Pop1 locus_482  14 142 
Pop1 locus_483 142  14 
Pop1 locus_484  18 142 
Pop1 locus_485 121  41 
Pop1 locus_486  25 121 
Pop1 locus_487 110  34 
Pop1 locus_488   8 148 
Pop1 locus_489 146  12 
Pop1 locus_490  13 149 
Pop1 locus_491  48  86 
Pop1 locus_492  16 138 
Pop1 locus_493 133  21 
Pop1 locus_494 137  17 
Pop1 locus_495  10 148 
Pop1 locus_496 141  17 
Pop1 locus_497 141  17 
Pop1 locus_498  17 147 
Pop1 locus_499  17 147 
Pop1 locus_500 147  17 
Pop1 locus_501 143   9 
Pop1 locus_502   9 119 
Pop1 locus_503 107  23 
Pop1 locus_504  21 113 
Pop1 locus_505   8 150 
Pop1 locus_506 114  20 
Pop1 locus_507 142  14 
Pop1 locus_508 137  25 
Pop1 locus_509 134  26 
Pop1 locus_510 102  46 
Pop1 locus_511 128  10 
Pop1 locus_512 132   8 
Pop1 locus_513 140  10 
Pop1 locus_514 150  12 
Pop1 locus_515  71  65 
Pop1 locus_516  10 130 
Pop1 locus_517   9 129 
Pop1 locus_518   9 147 
Pop1 locus_519 117  11 
Pop1 locus_520  52  76 
Pop1 locus_521  51  75 
Pop1 locus_522  51  87 
Pop1 locus_523  21 119 
Pop1 locus_524 137  19 
Pop1 locus_525  73  87 
Pop1 locus_526  33 121 
Pop1 locus_527 148  12 
Pop1 locus_528  11 151 
Pop1 locus_529 142  10 
Pop1 locus_530 109  25 
Pop1 locus_531  13 135 
Pop1 locus_532  86  52 
Pop1 locus_533 130   8 
Pop1 locus_534 122  14 
Pop1 locus_535 127   9 
Pop1 locus_536 138  12 
Pop1 locus_537 117  41 
Pop1 locus_538  18 140 
Pop1 locus_539  70  84 
Pop1 locus_540  98  62 
Pop1 locus_541  11 119 
Pop1 locus_542 105  29 
Pop1 locus_543  21 115 
Pop1 locus_544  58  92 
Pop1 locus_545  12 136 
Pop1 locus_546  83  59 
Pop1 locus_547  22 138 
Pop1 locus_548 120  40 
Pop1 locus_549  50  84 
Pop1 locus_550  29 117 
Pop1 locus_551  61  85 
Pop1 locus_552  12 132 
Pop1 locus_553  21 129 
Pop1 locus_554 140   8 
Pop1 locus_555   9 147 
Pop1 locus_556   9 147 
Pop1 locus_557 126  14 
Pop1 locus_558  12 130 
Pop1 locus_559  11 137 
Pop1 locus_560  15 133 
Pop1 locus_561  11 137 
Pop1 locus_562 118  22 
Pop1 locus_563  15 115 
Pop1 locus_564  96  34 
Pop1 locus_565 132  10 
Pop1 locus_566  22 124 
Pop1 locus_567  43  85 
Pop1 locus_568 147  19 
Pop1 locus_569 120  32 
Pop1 locus_570  25 125 
Pop1 locus_571 137  25 
Pop1 locus_572 132  28 
Pop1 locus_573 145  17 
Pop1 locus_574 130  28 
Pop1 locus_575 122  42 
Pop1 locus_576  10 156 
Pop1 locus_577 122   8 
Pop1 locus_578 132  12 
Pop1 locus_579  92  48 
Pop1 locus_580 143  17 
Pop1 locus_581 133  21 
Pop1 locus_582 133  21 
Pop1 locus_583  12 144 
Pop1 locus_584  14 142 
Pop1 locus_585  25 121 
Pop1 locus_586 133   9 
Pop1 locus_587 129  13 
Pop1 locus_588  13 129 
Pop1 locus_589 118  32 
Pop1 locus_590  13 133 
Pop1 locus_591  63  85 
Pop1 locus_592   7 127 
Pop1 locus_593  16 118 
Pop1 locus_594  11 131 
Pop1 locus_595  26 122 
Pop1 locus_596  12 138 
Pop1 locus_597  12 138 
Pop1 locus_598 111  37 
Pop1 locus_599  13 125 
Pop1 locus_600  26 118 
Pop1 locus_601  48  92 
Pop1 locus_602 120  24 
Pop1 locus_603  14 128 
Pop1 locus_604  16 118 
Pop1 locus_605  91  61 
Pop1 locus_606 113  53 
Pop1 locus_607 151  13 
Pop1 locus_608 113  53 
Pop1 locus_609 139  23 
Pop1 locus_610  15 119 
Pop1 locus_611  16 128 
Pop1 locus_612   8 136 
Pop1 locus_613  24 120 
Pop1 locus_614  15 127 
Pop1 locus_615  12 132 
Pop1 locus_616  12 132 
Pop1 locus_617 123  39 
Pop1 locus_618  84  76 
Pop1 locus_619  11 139 
Pop1 locus_620  11 139 
Pop1 locus_621  13 137 
Pop1 locus_622  26 114 
Pop1 locus_623  15 135 
Pop1 locus_624  39 117 
Pop1 locus_625  43 105 
Pop1 locus_626  40 122 
Pop1 locus_627 140  14 
Pop1 locus_628  27 131 
Pop1 locus_629  16 142 
Pop1 locus_630 135  23 
Pop1 locus_631 140  14 
Pop1 locus_632   9 143 
Pop1 locus_633  17 131 
Pop1 locus_634   7 127 
Pop1 locus_635   7 127 
Pop1 locus_636 129  13 
Pop1 locus_637 108  32 
Pop1 locus_638 108  32 
Pop1 locus_639  82  74 
Pop1 locus_640 149   9 
Pop1 locus_641 106  36 
Pop1 locus_642 101  47 
Pop1 locus_643  15 131 
Pop1 locus_644 100  46 
Pop1 locus_645 130  18 
Pop1 locus_646 151   9 
Pop1 locus_647  78  58 
Pop1 locus_648 125  17 
Pop1 locus_649 124  26 
Pop1 locus_650 106  44 
Pop1 locus_651  17 137 
Pop1 locus_652  27 133 
Pop1 locus_653  16 146 
Pop1 locus_654  45  89 
Pop1 locus_655  85  47 
Pop1 locus_656  83  55 
Pop1 locus_657 125  19 
Pop1 locus_658  90  48 
Pop1 locus_659 149  13 
Pop1 locus_660  10 140 
Pop1 locus_661  28 122 
Pop1 locus_662  61  87 
Pop1 locus_663  62 102 
Pop1 locus_664  62 104 
Pop1 locus_665  15 143 
Pop1 locus_666 129  27 
Pop1 locus_667 147  11 
Pop1 locus_668 148  10 
Pop1 locus_669 146  14 
Pop1 locus_670 114  28 
Pop1 locus_671  61  81 
Pop1 locus_672  12 150 
Pop1 locus_673  16 146 
Pop1 locus_674 134  28 
Pop1 locus_675 142  20 
Pop1 locus_676 145  17 
Pop1 locus_677 127  23 
Pop1 locus_678  99  43 
Pop1 locus_679 143  11 
Pop1 locus_680  13 139 
Pop1 locus_681  10 120 
Pop1 locus_682  50 110 
Pop1 locus_683  22 144 
Pop1 locus_684  90  64 
Pop1 locus_685  10 132 
Pop1 locus_686  12 142 
Pop1 locus_687 115  17 
Pop1 locus_688   8 136 
Pop1 locus_689 128  16 
Pop1 locus_690  13 129 
Pop1 locus_691 108  50 
Pop1 locus_692 152  10 
Pop1 locus_693  65 101 
Pop1 locus_694 131  21 
Pop1 locus_695 128  10 
Pop1 locus_696 104  34 
Pop1 locus_697  59  93 
Pop1 locus_698  59  93 
Pop1 locus_699  12 118 
Pop1 locus_700  84  64 
Pop1 locus_701 151   9 
Pop1 locus_702 134  26 
Pop1 locus_703  10 154 
Pop1 locus_704 153  11 
Pop1 locus_705  40 124 
Pop1 locus_706 103  39 
Pop1 locus_707 145  19 
Pop1 locus_708  38 124 
Pop1 locus_709  12 152 
Pop1 locus_710  16 144 
Pop1 locus_711  21 135 
Pop1 locus_712  39 117 
Pop1 locus_713   8 146 
Pop1 locus_714 136  10 
Pop1 locus_715  12 126 
Pop1 locus_716  14 120 
Pop1 locus_717 134  32 
Pop1 locus_718   9 155 
Pop1 locus_719   9 153 
Pop1 locus_720  27 109 
Pop1 locus_721   7 133 
Pop1 locus_722 130   8 
Pop1 locus_723 102  46 
Pop1 locus_724 118  24 
Pop1 locus_725 101  33 
Pop1 locus_726 138   8 
Pop1 locus_727  52  84 
Pop1 locus_728   8 128 
Pop1 locus_729  56  96 
Pop1 locus_730  29 125 
Pop1 locus_731  41  91 
Pop1 locus_732 153  11 
Pop1 locus_733  59  91 
Pop1 locus_734 144  14 
Pop1 locus_735  29 127 
Pop1 locus_736  20 138 
Pop1 locus_737  13 137 
Pop1 locus_738  20 132 
Pop1 locus_739 104  38 
Pop1 locus_740 132  12 
Pop1 locus_741  14 130 
Pop1 locus_742  71  57 
Pop1 locus_743 118  14 
Pop1 locus_744  64  64 
Pop1 locus_745 107  27 
Pop1 locus_746  58  74 
Pop1 locus_747   9 155 
Pop1 locus_748 123  17 
Pop1 locus_749 138  28 
Pop1 locus_750 109  29 
Pop1 locus_751 105  31 
Pop1 locus_752  26 128 
Pop1 locus_753  46 104 
Pop1 locus_754 132  22 
Pop1 locus_755 124  32 
Pop1 locus_756  27 133 
Pop1 locus_757 126  32 
Pop1 locus_758  23 105 
Pop1 locus_759 105  23 
Pop1 locus_760 102  28 
Pop1 locus_761 124  24 
Pop1 locus_762  21 113 
Pop1 locus_763  12 136 
Pop1 locus_764  18 134 
Pop1 locus_765  10 128 
Pop1 locus_766  10 128 
Pop1 locus_767  11 129 
Pop1 locus_768  29 127 
Pop1 locus_769  56  88 
Pop1 locus_770  68  68 
Pop1 locus_771  20 122 
Pop1 locus_772 113  15 
Pop1 locus_773  27 139 
Pop1 locus_774  33 127 
Pop1 locus_775 146  14 
Pop1 locus_776   9 153 
Pop1 locus_777  16 146 
Pop1 locus_778  45 113 
Pop1 locus_779 113  45 
Pop1 locus_780  11 141 
Pop1 locus_781  16 138 
Pop1 locus_782  65  89 
Pop1 locus_783 122  38 
Pop1 locus_784 142  18 
Pop1 locus_785 101  33 
Pop1 locus_786  50  78 
Pop1 locus_787 126  18 
Pop1 locus_788 136  16 
Pop1 locus_789  24 124 
Pop1 locus_790 133  15 
Pop1 locus_791 147  17 
Pop1 locus_792 148  14 
Pop1 locus_793   8 128 
Pop1 locus_794  23 105 
Pop1 locus_795 125  13 
Pop1 locus_796  37  91 
Pop1 locus_797   9 133 
Pop1 locus_798 117  25 
Pop1 locus_799 141  15 
Pop1 locus_800 118  36 
Pop1 locus_801 116  36 
Pop1 locus_802  23 119 
Pop1 locus_803  15 117 
Pop1 locus_804  21 107 
Pop1 locus_805 146  12 
Pop1 locus_806 137  11 
Pop1 locus_807 138  10 
Pop1 locus_808   7 123 
Pop1 locus_809  26 120 
Pop1 locus_810 120  26 
Pop1 locus_811   9 137 
Pop1 locus_812 119  29 
Pop1 locus_813  13 139 
Pop1 locus_814 136  14 
Pop1 locus_815 128  18 
Pop1 locus_816 106  42 
Pop1 locus_817 137  13 
Pop1 locus_818  34 116 
Pop1 locus_819 144  10 
Pop1 locus_820  27 125 
Pop1 locus_821  99  67 
Pop1 locus_822 157   9 
Pop1 locus_823 157   9 
Pop1 locus_824  10 142 
Pop1 locus_825  33 127 
Pop1 locus_826 142   8 
Pop1 locus_827  11 149 
Pop1 locus_828  11 149 
Pop1 locus_829 139  15 
Pop1 locus_830  17 143 
Pop1 locus_831  70  90 
Pop1 locus_832  60  72 
Pop1 locus_833  81  53 
Pop1 locus_834  59  73 
Pop1 locus_835  39  93 
Pop1 locus_836  17 145 
Pop1 locus_837  86  74 
Pop1 locus_838  12 144 
Pop1 locus_839  39 113 
Pop1 locus_840 119   7 
Pop1 locus_841 122  22 
Pop1 locus_842  41 121 
Pop1 locus_843  33 111 
Pop1 locus_844 122  18 
Pop1 locus_845  98  38 
Pop1 locus_846  23 115 
Pop1 locus_847 136  14 
Pop1 locus_848 127  15 
Pop1 locus_849  10 152 
Pop1 locus_850   8 142 
Pop1 locus_851  29 111 
Pop1 locus_852  24 116 
Pop1 locus_853   9 121 
Pop1 locus_854  92  58 
Pop1 locus_855  16 130 
Pop1 locus_856  88  50 
Pop1 locus_857  49 113 
Pop1 locus_858  37 121 
Pop1 locus_859 113  49 
Pop1 locus_860 112  28 
Pop1 locus_861  14 136 
Pop1 locus_862  23 137 
Pop1 locus_863  11 153 
Pop1 locus_864 136  10 
Pop1 locus_865 133   7 
Pop1 locus_866  29 107 
Pop1 locus_867 107  27 
Pop1 locus_868 107  27 
Pop1 locus_869 127   7 
Pop1 locus_870   9 147 
Pop1 locus_871 145  17 
Pop1 locus_872  86  74 
Pop1 locus_873 138   8 
Pop1 locus_874 125  35 
Pop1 locus_875 128  28 
Pop1 locus_876 141  19 
Pop1 locus_877 149   9 
Pop1 locus_878 118  10 
Pop1 locus_879 110  54 
Pop1 locus_880  29 133 
Pop1 locus_881 148  10 
Pop1 locus_882  47 105 
Pop1 locus_883 148  12 
Pop1 locus_884   8 134 
Pop1 locus_885  96  62 
Pop1 locus_886 113  49 
Pop1 locus_887  45 111 
Pop1 locus_888   8 140 
Pop1 locus_889  40 102 
Pop1 locus_890   8 142 
Pop1 locus_891  20 122 
Pop1 locus_892  13 147 
Pop1 locus_893   8 124 
Pop1 locus_894 113  19 
Pop1 locus_895 128  22 
Pop1 locus_896 140  12 
Pop1 locus_897  73  67 
Pop1 locus_898  73  67 
Pop1 locus_899 148   8 
Pop1 locus_900   8 148 
Pop1 locus_901  33 107 
Pop1 locus_902  13 123 
Pop1 locus_903 109  27 
Pop1 locus_904  11 135 
Pop1 locus_905 128  34 
Pop1 locus_906 128  32 
Pop1 locus_907 118  42 
Pop1 locus_908  24 138 
Pop1 locus_909  89  65 
Pop1 locus_910  38 112 
Pop1 locus_911  17 149 
Pop1 locus_912  21 133 
Pop1 locus_913 138  14 
Pop1 locus_914 143  13 
Pop1 locus_915  78  74 
Pop1 locus_916  74  78 
Pop1 locus_917 119  37 
Pop1 locus_918  45 119 
Pop1 locus_919 132  30 
Pop1 locus_920  34 112 
Pop1 locus_921 148  16 
Pop1 locus_922  80  84 
Pop1 locus_923  84  80 
Pop1 locus_924  93  35 
Pop1 locus_925 119  11 
Pop1 locus_926  12 146 
Pop1 locus_927 111  37 
Pop1 locus_928  11 153 
Pop1 locus_929 146  16 
Pop1 locus_930  23 139 
Pop1 locus_931  39  99 
Pop1 locus_932  15 129 
